Year,Team,Wiki,Region,Country,Track,Kind
2020,Rochester,http://2020.igem.org/Team:Rochester,North America,United States,Diagnostics,Collegiate
2020,RUM-UPRM,http://2020.igem.org/Team:RUM-UPRM,Latin America,United States,Environment,Collegiate
2020,SCU-China,http://2020.igem.org/Team:SCU-China,Asia,China,New Application,Collegiate
2020,SCU-WestChina,http://2020.igem.org/Team:SCU-WestChina,Asia,China,Therapeutics,Collegiate
2020,SCUT_China,http://2020.igem.org/Team:SCUT_China,Asia,China,Therapeutics,Collegiate
2020,SDU-Denmark,http://2020.igem.org/Team:SDU-Denmark,Europe,Denmark,Diagnostics,Collegiate
2020,SEHS-China,http://2020.igem.org/Team:SEHS-China,Asia,China,High School,High School
2020,ShanghaiTech_China,http://2020.igem.org/Team:ShanghaiTech_China,Asia,China,New Application,Collegiate
2020,Shanghai_city,http://2020.igem.org/Team:Shanghai_city,Asia,China,High School,High School
2020,Shanghai_high_school,http://2020.igem.org/Team:Shanghai_high_school,Asia,China,High School,High School
2020,Shanghai_HS,http://2020.igem.org/Team:Shanghai_HS,Asia,China,High School,High School
2020,Shanghai_HS_United,http://2020.igem.org/Team:Shanghai_HS_United,Asia,China,High School,High School
2020,Shanghai_SFLS_SPBS,http://2020.igem.org/Team:Shanghai_SFLS_SPBS,Asia,China,High School,High School
2020,Shanghai_United,http://2020.igem.org/Team:Shanghai_United,Asia,China,High School,High School
2020,SHSBNU_China,http://2020.igem.org/Team:SHSBNU_China,Asia,China,High School,High School
2020,SHSID,http://2020.igem.org/Team:SHSID,Asia,China,High School,High School
2020,SJTU-BioX-Shanghai,http://2020.igem.org/Team:SJTU-BioX-Shanghai,Asia,China,Foundational Advance,Collegiate
2020,SJTU-software,http://2020.igem.org/Team:SJTU-software,Asia,China,Software,Collegiate
2020,SMS_Shenzhen,http://2020.igem.org/Team:SMS_Shenzhen,Asia,China,High School,High School
2020,Sorbonne_U_Paris,http://2020.igem.org/Team:Sorbonne_U_Paris,Europe,France,Environment,Collegiate
2020,Stanford,http://2020.igem.org/Team:Stanford,North America,United States,Diagnostics,Collegiate
2020,Stockholm,http://2020.igem.org/Team:Stockholm,Europe,Sweden,Environment,Collegiate
2020,Stony_Brook,http://2020.igem.org/Team:Stony_Brook,North America,United States,Environment,Collegiate
2020,Stuttgart,http://2020.igem.org/Team:Stuttgart,Europe,Germany,Environment,Collegiate
2020,St_Andrews,http://2020.igem.org/Team:St_Andrews,Europe,United Kingdom,Environment,Collegiate
2020,SUNY_Oneonta,http://2020.igem.org/Team:SUNY_Oneonta,North America,United States,New Application,Collegiate
2020,SUSTech_Shenzhen,http://2020.igem.org/Team:SUSTech_Shenzhen,Asia,China,Environment,Collegiate
2020,SYSU-CHINA,http://2020.igem.org/Team:SYSU-CHINA,Asia,China,Foundational Advance,Collegiate
2020,SYSU-Software,http://2020.igem.org/Team:SYSU-Software,Asia,China,Software,Collegiate
2020,SZ-SHD,http://2020.igem.org/Team:SZ-SHD,Asia,China,High School,High School
2020,SZPT-CHINA,http://2020.igem.org/Team:SZPT-CHINA,Asia,China,New Application,Collegiate
2020,SZU-China,http://2020.igem.org/Team:SZU-China,Asia,China,Manufacturing,Collegiate
2020,TAS_Taipei,http://2020.igem.org/Team:TAS_Taipei,Asia,Taiwan,High School,High School
2020,TAU_Israel,http://2020.igem.org/Team:TAU_Israel,Asia,Israel,Foundational Advance,Collegiate
2020,Technion-Israel,http://2020.igem.org/Team:Technion-Israel,Asia,Israel,New Application,Collegiate
2020,Thessaly,http://2020.igem.org/Team:Thessaly,Europe,Greece,Food & Nutrition,Collegiate
2020,TJUSLS_China,http://2020.igem.org/Team:TJUSLS_China,Asia,China,Environment,Collegiate
2020,Tongji_China,http://2020.igem.org/Team:Tongji_China,Asia,China,Diagnostics,Collegiate
2020,Tongji_Software,http://2020.igem.org/Team:Tongji_Software,Asia,China,Software,Collegiate
2020,Toulouse_INSA-UPS,http://2020.igem.org/Team:Toulouse_INSA-UPS,Europe,France,Food & Nutrition,Collegiate
2020,TPR_China,http://2020.igem.org/Team:TPR_China,Asia,China,High School,High School
2020,Tsinghua,http://2020.igem.org/Team:Tsinghua,Asia,China,Environment,Collegiate
2020,Tsinghua-A,http://2020.igem.org/Team:Tsinghua-A,Asia,China,Information Processing,Collegiate
2020,TUDelft,http://2020.igem.org/Team:TUDelft,Europe,Netherlands,Food & Nutrition,Collegiate
2020,Tuebingen,http://2020.igem.org/Team:Tuebingen,Europe,Germany,Environment,Collegiate
2020,TU_Darmstadt,http://2020.igem.org/Team:TU_Darmstadt,Europe,Germany,Environment,Collegiate
2020,TU_Kaiserslautern,http://2020.igem.org/Team:TU_Kaiserslautern,Europe,Germany,Environment,Collegiate
2020,UCAS-China,http://2020.igem.org/Team:UCAS-China,Asia,China,Therapeutics,Collegiate
2020,UChicago,http://2020.igem.org/Team:UChicago,North America,United States,Environment,Collegiate
2020,UCL,http://2020.igem.org/Team:UCL,Europe,United Kingdom,Environment,Collegiate
2020,UCopenhagen,http://2020.igem.org/Team:UCopenhagen,Europe,Denmark,Diagnostics,Collegiate
2020,UCSC,http://2020.igem.org/Team:UCSC,North America,United States,Environment,Collegiate
2020,UC_Davis,http://2020.igem.org/Team:UC_Davis,North America,United States,Software,Collegiate
2020,UC_San_Diego,http://2020.igem.org/Team:UC_San_Diego,North America,United States,Therapeutics,Collegiate
2020,UESTC-Software,http://2020.igem.org/Team:UESTC-Software,Asia,China,Software,Collegiate
2020,UFlorida,http://2020.igem.org/Team:UFlorida,North America,United States,Environment,Collegiate
2020,UGent2_Belgium,http://2020.igem.org/Team:UGent2_Belgium,Europe,Belgium,Food & Nutrition,Collegiate
2020,UGent_Belgium,http://2020.igem.org/Team:UGent_Belgium,Europe,Belgium,Environment,Collegiate
2020,UiOslo_Norway,http://2020.igem.org/Team:UiOslo_Norway,Europe,Norway,Diagnostics,Collegiate
2020,UIUC_Illinois,http://2020.igem.org/Team:UIUC_Illinois,North America,United States,Software,Collegiate
2020,ULaval,http://2020.igem.org/Team:ULaval,North America,Canada,Food & Nutrition,Collegiate
2020,UMaryland,http://2020.igem.org/Team:UMaryland,North America,United States,Diagnostics,Collegiate
2020,UM_Macau,http://2020.igem.org/Team:UM_Macau,Asia,Macao,Environment,Collegiate
2020,UNILausanne,http://2020.igem.org/Team:UNILausanne,Europe,Switzerland,Therapeutics,Collegiate
2020,UNSW_Australia,http://2020.igem.org/Team:UNSW_Australia,Asia,Australia,Environment,Collegiate
2020,UofUppsala,http://2020.igem.org/Team:UofUppsala,Europe,Sweden,New Application,Collegiate
2020,UPCH_Peru,http://2020.igem.org/Team:UPCH_Peru,Latin America,Peru,Food & Nutrition,Collegiate
2020,UPF_Barcelona,http://2020.igem.org/Team:UPF_Barcelona,Europe,Spain,Therapeutics,Collegiate
2020,USAFA,http://2020.igem.org/Team:USAFA,North America,United States,Environment,Collegiate
2020,USTC-Software,http://2020.igem.org/Team:USTC-Software,Asia,China,Software,Collegiate
2020,UTTyler,http://2020.igem.org/Team:UTTyler,North America,United States,Diagnostics,Collegiate
2020,UUlm,http://2020.igem.org/Team:UUlm,Europe,Germany,Environment,Collegiate
2020,UZurich,http://2020.igem.org/Team:UZurich,Europe,Switzerland,New Application,Collegiate
2020,Vilnius-Lithuania,http://2020.igem.org/Team:Vilnius-Lithuania,Europe,Lithuania,Environment,Collegiate
2020,Virginia,http://2020.igem.org/Team:Virginia,North America,United States,Manufacturing,Collegiate
2020,Warwick,http://2020.igem.org/Team:Warwick,Europe,United Kingdom,Diagnostics,Collegiate
2020,Waseda,http://2020.igem.org/Team:Waseda,Asia,Japan,Information Processing,Collegiate
2020,Waterloo,http://2020.igem.org/Team:Waterloo,North America,Canada,Manufacturing,Collegiate
2020,WHU-China,http://2020.igem.org/Team:WHU-China,Asia,China,Therapeutics,Collegiate
2020,William_and_Mary,http://2020.igem.org/Team:William_and_Mary,North America,United States,Therapeutics,Collegiate
2020,Worldshaper-Nanjing,http://2020.igem.org/Team:Worldshaper-Nanjing,Asia,China,High School,High School
2020,Worldshaper-Shanghai,http://2020.igem.org/Team:Worldshaper-Shanghai,Asia,China,High School,High School
2020,Worldshaper-Wuhan,http://2020.igem.org/Team:Worldshaper-Wuhan,Asia,China,High School,High School
2020,XH-China,http://2020.igem.org/Team:XH-China,Asia,China,High School,High School
2020,XHD-ShanDong-China,http://2020.igem.org/Team:XHD-ShanDong-China,Asia,China,High School,High School
2020,XHD-Wuhan-China,http://2020.igem.org/Team:XHD-Wuhan-China,Asia,China,High School,High School
2020,Xiamen_city,http://2020.igem.org/Team:Xiamen_city,Asia,China,High School,High School
2020,XJTU-China,http://2020.igem.org/Team:XJTU-China,Asia,China,Environment,Collegiate
2020,XMU-China,http://2020.igem.org/Team:XMU-China,Asia,China,Food & Nutrition,Collegiate
2020,ZJU-China,http://2020.igem.org/Team:ZJU-China,Asia,China,Diagnostics,Collegiate
2020,ZJUT_China_B,http://2020.igem.org/Team:ZJUT_China_B,Asia,China,Diagnostics,Collegiate
2019,Aachen,http://2019.igem.org/Team:Aachen,Europe,Germany,Environment,Collegiate
2019,Aalto-Helsinki,http://2019.igem.org/Team:Aalto-Helsinki,Europe,Finland,Manufacturing,Collegiate
2019,Aboa,http://2019.igem.org/Team:Aboa,Europe,Finland,Diagnostics,Collegiate
2019,ACIBADEM_ISTANBUL,http://2019.igem.org/Team:ACIBADEM_ISTANBUL,Asia,Turkey,High School,High School
2019,AFCM-Egypt,http://2019.igem.org/Team:AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate
2019,AHUT_China,http://2019.igem.org/Team:AHUT_China,Asia,China,Environment,Collegiate
2019,Aix-Marseille,http://2019.igem.org/Team:Aix-Marseille,Europe,France,Diagnostics,Collegiate
2019,Alabama,http://2019.igem.org/Team:Alabama,North America,United States,Therapeutics,Collegiate
2019,Alma,http://2019.igem.org/Team:Alma,North America,United States,Therapeutics,Collegiate
2019,Amazonas-Brazil,http://2019.igem.org/Team:Amazonas-Brazil,Latin America,Brazil,Therapeutics,Collegiate
2019,ASIJ_Tokyo,http://2019.igem.org/Team:ASIJ_Tokyo,Asia,Japan,High School,High School
2019,ASTWS-China,http://2019.igem.org/Team:ASTWS-China,Asia,China,High School,High School
2019,Athens,http://2019.igem.org/Team:Athens,Europe,Greece,New Application,Collegiate
2019,Auburn_Alabama,http://2019.igem.org/Team:Auburn_Alabama,North America,United States,High School,High School
2019,Austin_UTexas,http://2019.igem.org/Team:Austin_UTexas,North America,United States,Foundational Advance,Collegiate
2019,Baltimore_BioCrew,http://2019.igem.org/Team:Baltimore_BioCrew,North America,United States,High School,High School
2019,BEAS_China,http://2019.igem.org/Team:BEAS_China,Asia,China,High School,High School
