time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
1572.0,0.4073043167591095,0.3937499523162842,0.3928828537464142,0.44982093572616577,0.17923033237457275,0.007594934199005365,0.22670061886310577,4.292310222808737e-06,0.3230442702770233,0.0012855723034590483,0.022158674895763397
1573.0,0.4072008728981018,0.3936792314052582,0.39287158846855164,0.44952863454818726,0.1789867877960205,0.007599967066198587,0.22652728855609894,4.293236088415142e-06,0.3229406177997589,0.0012848047772422433,0.02215762808918953
1574.0,0.407096803188324,0.3936086893081665,0.3928598463535309,0.4492354393005371,0.17874346673488617,0.007604977581650019,0.2263537496328354,4.294147402106319e-06,0.32283666729927063,0.0012840359704568982,0.022156547755002975
1575.0,0.4069921672344208,0.39353829622268677,0.39284756779670715,0.4489413797855377,0.17850039899349213,0.007609966676682234,0.22618001699447632,4.2950450733769685e-06,0.32273244857788086,0.001283265883103013,0.022155435755848885
1576.0,0.4068869352340698,0.39346805214881897,0.3928348124027252,0.4486464560031891,0.178257554769516,0.0076149338856339455,0.22600607573986053,4.29592819273239e-06,0.3226279318332672,0.0012824947480112314,0.022154292091727257
1577.0,0.4067811369895935,0.3933979570865631,0.3928215503692627,0.4483506679534912,0.17801494896411896,0.007619879674166441,0.22583191096782684,4.296797214919934e-06,0.3225231468677521,0.0012817223323509097,0.022153113037347794
1578.0,0.40667471289634705,0.3933280110359192,0.3928077816963196,0.4480540156364441,0.17777258157730103,0.007624802645295858,0.22565753757953644,4.2976525946869515e-06,0.32241806387901306,0.0012809487525373697,0.022151904180645943
1579.0,0.4065677523612976,0.3932582139968872,0.39279353618621826,0.4477565288543701,0.1775304675102234,0.00762970419600606,0.2254829704761505,4.2984934225387406e-06,0.32231271266937256,0.0012801740085706115,0.022150663658976555
1580.0,0.406460165977478,0.39318859577178955,0.39277878403663635,0.4474582076072693,0.17728857696056366,0.00763458339497447,0.22530817985534668,4.299320153222652e-06,0.32220709323883057,0.001279398100450635,0.02214938960969448
1581.0,0.4063520133495331,0.39311909675598145,0.39276355504989624,0.4471589922904968,0.17704695463180542,0.007639440707862377,0.22513318061828613,4.300133241486037e-06,0.3221011757850647,0.0012786210281774402,0.02214808575809002
1582.0,0.40624329447746277,0.3930497467517853,0.39274781942367554,0.4468589723110199,0.17680557072162628,0.007644276134669781,0.22495797276496887,4.300932232581545e-06,0.32199499011039734,0.001277842791751027,0.02214675024151802
1583.0,0.4061339795589447,0.39298054575920105,0.39273160696029663,0.4465581178665161,0.17656444013118744,0.007649088744074106,0.2247825413942337,4.301717581256526e-06,0.3218885064125061,0.0012770635075867176,0.022145383059978485
1584.0,0.40602409839630127,0.39291149377822876,0.39271488785743713,0.4462564289569855,0.1763235479593277,0.007653879467397928,0.22460690140724182,4.302488832763629e-06,0.3217817544937134,0.0012762830592691898,0.022143986076116562
1585.0,0.40591365098953247,0.3928425908088684,0.39269769191741943,0.4459538757801056,0.17608292400836945,0.0076586478389799595,0.22443103790283203,4.303246441850206e-06,0.32167473435401917,0.0012755014467984438,0.02214255928993225
1586.0,0.4058026373386383,0.3927738070487976,0.39268001914024353,0.44565051794052124,0.1758425384759903,0.0076633938588202,0.22425498068332672,4.303990408516256e-06,0.3215674161911011,0.0012747189030051231,0.022141102701425552
1587.0,0.4056910574436188,0.39270520210266113,0.39266183972358704,0.4453463554382324,0.17560242116451263,0.00766811752691865,0.2240786850452423,4.304720278014429e-06,0.3214598000049591,0.0012739351950585842,0.022139614447951317
1588.0,0.4055789113044739,0.3926367163658142,0.39264318346977234,0.44504135847091675,0.17536255717277527,0.007672818843275309,0.22390218079090118,4.305436959839426e-06,0.32135194540023804,0.001273150322958827,0.022138098254799843
1589.0,0.4054661989212036,0.3925683796405792,0.39262405037879944,0.4447355270385742,0.1751229465007782,0.007677497807890177,0.22372546792030334,4.3061395444965456e-06,0.3212437629699707,0.0012723645195364952,0.02213655225932598
1590.0,0.405352920293808,0.3925001919269562,0.39260444045066833,0.4444289207458496,0.17488360404968262,0.007682153955101967,0.2235485315322876,4.3068284867331386e-06,0.32113534212112427,0.0012715775519609451,0.022134976461529732
1591.0,0.4052391052246094,0.3924321234226227,0.39258435368537903,0.44412147998809814,0.17464451491832733,0.007686787750571966,0.22337137162685394,4.307504241296556e-06,0.32102659344673157,0.0012707896530628204,0.022133372724056244
1592.0,0.4051247239112854,0.3923642039299011,0.39256376028060913,0.4438132345676422,0.17440569400787354,0.007691398728638887,0.22319398820400238,4.3081663534394465e-06,0.32091760635375977,0.0012700007064267993,0.022131741046905518
1593.0,0.40500977635383606,0.3922964036464691,0.3925427198410034,0.4435042142868042,0.17416714131832123,0.007695987354964018,0.2230163961648941,4.3088152779091615e-06,0.3208083212375641,0.0012692107120528817,0.022130081430077553
1594.0,0.40489429235458374,0.39222878217697144,0.3925211727619171,0.44319435954093933,0.1739288568496704,0.00770055316388607,0.22283858060836792,4.309450105210999e-06,0.32069873809814453,0.0012684196699410677,0.0221283920109272
1595.0,0.40477824211120605,0.3921612501144409,0.392499178647995,0.4428837299346924,0.17369084060192108,0.0077050961554050446,0.22266054153442383,4.310072199587012e-06,0.3205888867378235,0.001267627696506679,0.02212667651474476
1596.0,0.4046616554260254,0.39209386706352234,0.3924767076969147,0.44257232546806335,0.17345309257507324,0.007709616329520941,0.22248227894306183,4.310680651542498e-06,0.32047876715660095,0.001266834675334394,0.02212493307888508
1597.0,0.40454453229904175,0.3920266330242157,0.39245375990867615,0.44226011633872986,0.1732156127691269,0.007714113686233759,0.22230380773544312,4.311275915824808e-06,0.32036834955215454,0.0012660407228395343,0.02212316170334816
1598.0,0.40442684292793274,0.3919595181941986,0.3924303352832794,0.4419471323490143,0.17297840118408203,0.007718588225543499,0.2221250981092453,4.311857992433943e-06,0.32025763392448425,0.0012652458390221,0.022121364250779152
1599.0,0.40430861711502075,0.39189252257347107,0.3924064338207245,0.44163334369659424,0.17274147272109985,0.007723039947450161,0.22194616496562958,4.312426881369902e-06,0.3201466500759125,0.0012644499074667692,0.022119540721178055
1600.0,0.4041898548603058,0.39182567596435547,0.39238208532333374,0.4413188099861145,0.17250481247901917,0.007727468851953745,0.22176702320575714,4.312982582632685e-06,0.3200353980064392,0.0012636530445888638,0.02211769111454487
1601.0,0.40407058596611023,0.3917589485645294,0.3923572301864624,0.4410035014152527,0.17226843535900116,0.007731874473392963,0.2215876430273056,4.313525096222293e-06,0.31992384791374207,0.0012628553668037057,0.022115815430879593
1602.0,0.4039507508277893,0.3916923701763153,0.39233195781707764,0.4406874179840088,0.17203232645988464,0.007736257277429104,0.22140803933143616,4.314054876886075e-06,0.31981199979782104,0.001262056641280651,0.02211391180753708
1603.0,0.4038303792476654,0.39162588119506836,0.3923061788082123,0.4403705596923828,0.171796515583992,0.007740616798400879,0.2212282121181488,4.3145710151293315e-06,0.31969988346099854,0.0012612571008503437,0.022111985832452774
1604.0,0.4037095010280609,0.39155954122543335,0.3922799527645111,0.44005295634269714,0.17156097292900085,0.007744953501969576,0.22104814648628235,4.315074875194114e-06,0.31958749890327454,0.0012604566290974617,0.02211003191769123
