time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
3048.0,0.1232236996293068,0.11693751811981201,0.12529030442237854,0.07942794263362885,0.037450820207595825,0.0026033169124275446,0.011144991964101791,4.152037945459597e-06,0.07848338037729263,0.0009246623376384377,0.01451085414737463
3049.0,0.1194809153676033,0.12619788944721222,0.1200077161192894,0.09412878751754761,0.04410231485962868,0.0028963235672563314,0.010524652898311615,4.662379978981335e-06,0.07987242192029953,0.0009892857633531094,0.015463072806596756
3050.0,0.122486412525177,0.12367676943540573,0.11614634841680527,0.0848081037402153,0.039777595549821854,0.0028855428099632263,0.011696341447532177,4.378266567073297e-06,0.07258743792772293,0.0010286999167874455,0.014574162662029266
3051.0,0.12787297368049622,0.11979236453771591,0.12159855663776398,0.08877075463533401,0.03920169174671173,0.0028763131704181433,0.010115103796124458,4.429590717336396e-06,0.08180707693099976,0.0010958989150822163,0.01621055044233799
3052.0,0.13521523773670197,0.12457580864429474,0.12293252348899841,0.09273091703653336,0.04292816296219826,0.003240908496081829,0.011543692089617252,3.7945176245557377e-06,0.07726718485355377,0.0010271946666762233,0.016302945092320442
3053.0,0.13446733355522156,0.10582926124334335,0.12489036470651627,0.08735114336013794,0.03917011246085167,0.002920071827247739,0.010124693624675274,4.59808461528155e-06,0.08490597456693649,0.0009407117031514645,0.0167628675699234
3054.0,0.11447100341320038,0.10904399305582047,0.11434362828731537,0.08861778676509857,0.03744160383939743,0.0026382815558463335,0.011819763109087944,5.0952799028891604e-06,0.07679588347673416,0.0011117926333099604,0.016025006771087646
3055.0,0.14262321591377258,0.1332465410232544,0.14392785727977753,0.08578603714704514,0.04031993821263313,0.002942885970696807,0.010756590403616428,4.766528945765458e-06,0.09301212430000305,0.000989090302027762,0.015087460167706013
3056.0,0.12803523242473602,0.12347777932882309,0.11917084455490112,0.08684948831796646,0.0415985994040966,0.002928768750280142,0.0102536054328084,4.3258341975160874e-06,0.07855618000030518,0.0009208733099512756,0.01601266674697399
3057.0,0.12419077754020691,0.13514544069766998,0.1336141675710678,0.08434411138296127,0.03938720002770424,0.0024653642904013395,0.009409510530531406,4.8990150389727205e-06,0.07387099415063858,0.0010270746424794197,0.01630542241036892
