time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
2795.0,0.3048906922340393,0.29640305042266846,0.2671378254890442,0.21099667251110077,0.09583359956741333,0.005695253144949675,0.04281019791960716,8.244812306656968e-06,0.2012282907962799,0.0021258508786559105,0.03343580290675163
2796.0,0.30475813150405884,0.29622507095336914,0.2670542597770691,0.2108781486749649,0.09578365832567215,0.005695698317140341,0.042709436267614365,8.249129678006284e-06,0.20106758177280426,0.002126087201759219,0.03343264386057854
2797.0,0.3046252727508545,0.29604700207710266,0.26697054505348206,0.2107594609260559,0.09573379158973694,0.005696151405572891,0.0426088310778141,8.253442501882091e-06,0.20090672373771667,0.0021263211965560913,0.03342948481440544
2798.0,0.30449211597442627,0.2958688735961914,0.2668866813182831,0.21064059436321259,0.0956839844584465,0.005696612875908613,0.04250837489962578,8.257752597273793e-06,0.20074573159217834,0.0021265526302158833,0.033426325768232346
2799.0,0.30435869097709656,0.295690655708313,0.2668026387691498,0.21052156388759613,0.09563425183296204,0.005697082262486219,0.04240807145833969,8.262058145191986e-06,0.20058457553386688,0.002126781502738595,0.03342317044734955
2800.0,0.3042249381542206,0.2955123782157898,0.26671841740608215,0.21040236949920654,0.09558457881212234,0.00569755956530571,0.04230792075395584,8.266360055131372e-06,0.20042328536510468,0.0021270080469548702,0.03342001512646675
2801.0,0.3040909171104431,0.2953340411186218,0.2666340470314026,0.21028299629688263,0.09553497284650803,0.0056980447843670845,0.04220792278647423,8.270657417597249e-06,0.20026183128356934,0.0021272317972034216,0.033416859805583954
2802.0,0.3039565980434418,0.2951556444168091,0.2665495276451111,0.21016345918178558,0.09548543393611908,0.005698537454009056,0.04210807755589485,8.274952051579021e-06,0.20010024309158325,0.0021274532191455364,0.033413708209991455
2803.0,0.30382198095321655,0.2949771583080292,0.26646482944488525,0.2100437581539154,0.0954359620809555,0.005699038039892912,0.04200838506221771,8.279242138087284e-06,0.19993852078914642,0.0021276718471199274,0.033410560339689255
2804.0,0.30368709564208984,0.2947986125946045,0.2663799822330475,0.2099238932132721,0.0953865572810173,0.005699546076357365,0.04190884530544281,8.28352858661674e-06,0.19977663457393646,0.002127888146787882,0.033407408744096756
2805.0,0.30355191230773926,0.29461997747421265,0.2662949860095978,0.20980386435985565,0.09533721208572388,0.005700061563402414,0.041809458285570145,8.287810487672687e-06,0.19961461424827576,0.0021281021181493998,0.033404264599084854
